rank,term,pval,zscore,combined_score,genes,adj_pval,old_pval,old_adj_pval,group
90,Hippo signaling pathway,0.05266210557697415,2.029373196957776,5.974188837059357,"['FRMD6', 'FZD5', 'FZD7', 'DLG5', 'FGF1', 'BMPR1B', 'AREG', 'BIRC3']",0.15436107431516072,0,0,downregulated
91,Endocytosis,0.052807735949923405,1.7976308666174512,5.28700780016869,"['ARF1', 'CAV2', 'CLTCL1', 'CHMP4C', 'CXCR4', 'ARAP3', 'ASAP2', 'ARFGAP3', 'FGFR3', 'EGFR', 'ARFGAP1']",0.15436107431516072,0,0,downregulated
92,Autophagy,0.056647697881061373,2.1156186612576064,6.073737928804722,"['ERN1', 'GABARAPL1', 'DEPTOR', 'ATG9B', 'BNIP3', 'EIF2AK3', 'BCL2']",0.16378573517785136,0,0,downregulated
93,Fluid shear stress and atherosclerosis,0.06030005976817401,2.08334869998156,5.85092270617985,"['CAV2', 'DUSP1', 'BCL2', 'CCL2', 'FOS', 'BMPR1B', 'ASS1']",0.17247113869176653,0,0,downregulated
94,ErbB signaling pathway,0.0618191895456952,2.452020202020202,6.825299874123607,"['CDKN1A', 'ERBB2', 'EIF4EBP1', 'AREG', 'EGFR']",0.17493515339526516,0,0,downregulated
95,Thyroid cancer,0.06453588403923348,3.4559119422416855,9.471043723187098,"['CDKN1A', 'GADD45B', 'GADD45G']",0.18053808989747422,0,0,downregulated
96,Protein processing in endoplasmic reticulum,0.06589882982298881,1.928974013666517,5.246104459440414,"['ERN1', 'DNAJC1', 'DNAJB11', 'EDEM2', 'EIF2AK3', 'BCL2', 'CRYAB', 'ATF4']",0.18053808989747422,0,0,downregulated
97,Nitrogen metabolism,0.0662415915707929,5.216867469879518,14.16090890631389,"['CA2', 'CA4']",0.18053808989747422,0,0,downregulated
98,Leukocyte transendothelial migration,0.06653353765237376,2.180836707152497,5.910174627106373,"['CLDN11', 'CLDN3', 'CLDN7', 'CXCR4', 'EZR', 'CD99']",0.18053808989747422,0,0,downregulated
99,Coronavirus disease,0.0671927477437968,1.7722007722007722,4.785278728224098,"['CXCL10', 'CXCL8', 'C7', 'C1S', 'C1R', 'F13A1', 'CCL2', 'FOS', 'CFB', 'EGFR']",0.18053808989747422,0,0,downregulated
100,GABAergic synapse,0.07230344457543814,2.334776334776335,6.133185449015997,"['GABRB1', 'GABARAPL1', 'ADCY9', 'GABRA4', 'CACNA1B']",0.19121754549408804,0,0,downregulated
101,Lysine degradation,0.07265625462332848,2.6573264078731547,6.9675518275394674,"['ALDH2', 'AADAT', 'DOT1L', 'BBOX1']",0.19121754549408804,0,0,downregulated
102,Fatty acid biosynthesis,0.07332402120449992,4.890562248995984,12.778388775111619,"['ACSL1', 'FASN']",0.19121754549408804,0,0,downregulated
103,Bile secretion,0.07506739964971518,2.30718954248366,5.974164863873268,"['ADCY9', 'CA2', 'EPHX1', 'ATP1B3', 'ABCG2']",0.1938633816196528,0,0,downregulated
104,Nicotine addiction,0.07776165816733924,3.175213442819077,8.109834229526632,"['GABRB1', 'GABRA4', 'CACNA1B']",0.19883962147629425,0,0,downregulated
105,Cell adhesion molecules,0.07848932426695826,1.9494626904320056,4.960978345635944,"['CLDN11', 'CNTNAP2', 'CLDN3', 'CLDN7', 'CNTN2', 'CD58', 'CD99']",0.19883962147629425,0,0,downregulated
106,AMPK signaling pathway,0.08075142485046569,2.065416577881952,5.197372290438781,"['CCNA1', 'CREB3', 'CREB3L1', 'FASN', 'EIF4EBP1', 'FOXO1']",0.20264036802097993,0,0,downregulated
107,GnRH signaling pathway,0.08369783822179734,2.2281910009182737,5.527121650388019,"['EGR1', 'ADCY9', 'CGA', 'EGFR', 'ATF4']",0.20807126137381396,0,0,downregulated
108,Glycolysis / Gluconeogenesis,0.08667836668553372,2.488095238095238,6.084763662089344,"['ALDH2', 'ADH1B', 'ALDOC', 'ALDOB']",0.2134856068365923,0,0,downregulated
109,One carbon pool by folate,0.08816218183787267,4.346720214190094,10.55634554292993,"['ALDH1L1', 'ALDH1L2']",0.21514807677866174,0,0,downregulated
110,MicroRNAs in cancer,0.09038125400662375,1.5844977445263506,3.808686383705759,"['EFNA1', 'CDKN1A', 'CDKN2A', 'ERBB2', 'BCL2', 'CYP1B1', 'EZR', 'FGFR3', 'CD44', 'EGFR', 'CDC25B', 'FOXP1']",0.21855830514329014,0,0,downregulated
111,Fatty acid degradation,0.0920646511043347,2.936619718309859,7.004613939883538,"['ALDH2', 'ADH1B', 'ACSL1']",0.2206233981419192,0,0,downregulated
112,Vasopressin-regulated water reabsorption,0.09705771960273352,2.8648476223192816,6.6821122037109575,"['CREB3', 'ADCY9', 'CREB3L1']",0.22864278738878555,0,0,downregulated
113,Epithelial cell signaling in Helicobacter pylori infection,0.09798976602376523,2.374633431085044,5.516017555886272,"['CXCL8', 'CXCL2', 'EGFR', 'ATP6V1C2']",0.22864278738878555,0,0,downregulated
114,Prolactin signaling pathway,0.09798976602376523,2.374633431085044,5.516017555886272,"['CISH', 'FOS', 'CGA', 'ESR1']",0.22864278738878555,0,0,downregulated
115,Arginine biosynthesis,0.10379556080326813,3.9116465863453813,8.86117848199568,"['ARG2', 'ASS1']",0.24008364498842888,0,0,downregulated
116,Kaposi sarcoma-associated herpesvirus infection,0.11203412909127147,1.6976488683805757,3.716071427504532,"['GABARAPL1', 'CDKN1A', 'CXCL8', 'CASP8', 'CLEC2B', 'FAS', 'FOS', 'CXCL2']",0.2536964543543571,0,0,downregulated
117,Chagas disease,0.11254203614215841,2.0205144225762783,4.413669233837566,"['CXCL8', 'CASP8', 'CCL2', 'FAS', 'FOS']",0.2536964543543571,0,0,downregulated
118,Pancreatic secretion,0.11254203614215841,2.0205144225762783,4.413669233837566,"['ADCY9', 'CA2', 'ATP1B3', 'CCK', 'CEL']",0.2536964543543571,0,0,downregulated
119,Vascular smooth muscle contraction,0.11686224404554532,1.8527527176511842,3.977414385095172,"['ADCY9', 'CALCB', 'EDN3', 'CALD1', 'ADM', 'AGT']",0.26122148669004247,0,0,downregulated
120,Chronic myeloid leukemia,0.12252803470737,2.1760752688172045,4.568485975363731,"['CDKN1A', 'GADD45B', 'CDKN2A', 'GADD45G']",0.26715128878820016,0,0,downregulated
121,Gastric acid secretion,0.12252803470737,2.1760752688172045,4.568485975363731,"['ADCY9', 'CA2', 'ATP1B3', 'EZR']",0.26715128878820016,0,0,downregulated
122,Metabolism of xenobiotics by cytochrome P450,0.12252803470737,2.1760752688172045,4.568485975363731,"['ADH1B', 'AKR1C1', 'EPHX1', 'CYP1B1']",0.26715128878820016,0,0,downregulated
123,Bacterial invasion of epithelial cells,0.12685161688191973,2.146155545735749,4.431247292298288,"['CAV2', 'CLTCL1', 'ELMO1', 'ELMO3']",0.2705246221024669,0,0,downregulated
124,Ras signaling pathway,0.12887640394885932,1.5845122519247805,3.2465094391406306,"['EFNA1', 'FGF9', 'ANGPT1', 'BDNF', 'FGF1', 'FGFR3', 'EGFR', 'ETS2', 'EPHA2']",0.2705246221024669,0,0,downregulated
125,Hepatocellular carcinoma,0.12903664411800633,1.7055295881471029,3.4923427585657985,"['CDKN1A', 'FZD5', 'GADD45B', 'CDKN2A', 'FZD7', 'EGFR', 'GADD45G']",0.2705246221024669,0,0,downregulated
126,Cysteine and methionine metabolism,0.12916025190606503,2.498351813005694,5.113380110281715,"['CBS', 'BCAT1', 'BCAT2']",0.2705246221024669,0,0,downregulated
127,Vibrio cholerae infection,0.12916025190606503,2.498351813005694,5.113380110281715,"['ARF1', 'ADCY9', 'ATP6V1C2']",0.2705246221024669,0,0,downregulated
128,Synaptic vesicle cycle,0.13123847658671212,2.117044463818657,4.299165135936913,"['CLTCL1', 'CACNA1B', 'CPLX3', 'ATP6V1C2']",0.2727299591567611,0,0,downregulated
129,Vitamin B6 metabolism,0.14094786294456849,7.813627254509018,15.309749510587356,['AOX1'],0.2906366786298854,0,0,downregulated
130,Collecting duct acid secretion,0.1456305058632748,3.1285140562248994,6.02765374262903,"['CA2', 'ATP6V1C2']",0.29798241968947,0,0,downregulated
131,Calcium signaling pathway,0.14886780917565415,1.5290025656624435,2.9122859172021642,"['EDNRB', 'ADCY9', 'FGF9', 'ERBB2', 'CACNA1B', 'CXCR4', 'FGF1', 'FGFR3', 'EGFR']",0.30228120031087025,0,0,downregulated
132,Phospholipase D signaling pathway,0.16683342934024545,1.6557564007526944,2.965061327878295,"['ARF1', 'DGKD', 'ADCY9', 'CXCL8', 'EGFR', 'AGT']",0.33619463791291887,0,0,downregulated
133,Pentose phosphate pathway,0.17213040735200277,2.7928858290304075,4.914090735557779,"['ALDOC', 'ALDOB']",0.34426081470400555,0,0,downregulated
134,Riboflavin metabolism,0.18337711757031785,5.580589750930432,9.465854902849987,['ENPP1'],0.3640172632366011,0,0,downregulated
135,mTOR signaling pathway,0.1889955279135241,1.5881387460334828,2.645889853865999,"['FLCN', 'DEPTOR', 'FZD5', 'FZD7', 'EIF4EBP1', 'ATP6V1C2']",0.37239118833331414,0,0,downregulated
136,Morphine addiction,0.193365469000841,1.7994994438264738,2.95688936559602,"['GABRB1', 'ADCY9', 'GABRA4', 'CACNA1B']",0.3772383848683226,0,0,downregulated
137,Glycerolipid metabolism,0.19571013951815233,2.0233816693263025,3.3003795111360574,"['DGKD', 'ALDH2', 'CEL']",0.3772383848683226,0,0,downregulated
138,Steroid hormone biosynthesis,0.19571013951815233,2.0233816693263025,3.3003795111360574,"['AKR1C1', 'AKR1C3', 'CYP1B1']",0.3772383848683226,0,0,downregulated
